case_id,case_type,related_payment_ids,related_refund_ids,related_adjustment_ids,related_settlement_ids,related_bank_txn_ids,expected_relationship,expected_settlement_amount,actual_amount,discrepancy,reason,auto_resolvable,intentional_unresolved_exception
CASE_0001,settlement_bank_match,,,,setl_Al2HLzOK45yVqT,bnktxn_6YGTEIugZ0MoUw,settlement<->bank_transaction (exact match),6793153,6793153,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0002,settlement_bank_match,,,,setl_TSPJ0oDrK1dDNC,bnktxn_rKq85UbTMFBTW8,settlement<->bank_transaction (exact match),3129317,3129317,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0003,settlement_bank_match,,,,setl_iznQCtISRtvoKZ,bnktxn_kUmpMXWl1lbP7F,settlement<->bank_transaction (exact match),4498039,4498039,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0004,settlement_bank_match,,,,setl_Uhvfg8zKS8RyZA,bnktxn_wPOfvCWgHqb4Md,settlement<->bank_transaction (exact match),3822633,3822633,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0005,settlement_bank_match,,,,setl_JdRxgka9Haauyt,bnktxn_l5CT24XlGj00Cb,settlement<->bank_transaction (exact match),9962893,9962893,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0006,settlement_bank_match,,,,setl_Nc7I49Y8hZ7t7s,bnktxn_8hQJevpxjp90Fm,settlement<->bank_transaction (exact match),4701738,4701738,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0007,settlement_bank_match,,,,setl_Yzcwd66EZ16QTW,bnktxn_ms8OBzByfFbFgu,settlement<->bank_transaction (exact match),1655011,1655011,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0008,settlement_bank_match,,,,setl_JENytFYXsXRSdH,bnktxn_Id00R3BVGH2lGx,settlement<->bank_transaction (exact match),1366944,1366944,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0009,settlement_bank_match,,,,setl_RSc6ngD8l5oTue,bnktxn_0ox61zcjjMpNQq,settlement<->bank_transaction (exact match),9526762,9526762,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0010,settlement_bank_match,,,,setl_47BRKT35Otn84P,bnktxn_SoeOhhk5YFelIu,settlement<->bank_transaction (exact match),1322462,1322462,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0011,settlement_bank_match,,,,setl_k8Vq9RT7SzsIss,bnktxn_c1ylfWSZepBNxC,settlement<->bank_transaction (exact match),364147,364147,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0012,settlement_bank_match,,,,setl_VjCMXcQ7GXmXnU,bnktxn_olOmvQUCb3Ce1p,settlement<->bank_transaction (exact match),7485420,7485420,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0013,settlement_bank_match,,,,setl_MHsJkjJ9udhReA,bnktxn_XKh2oWOcKIebP0,settlement<->bank_transaction (exact match),4708826,4708826,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0014,settlement_bank_match,,,,setl_6E7KPysRNyC6Vp,bnktxn_4kxVbBZtjcDAT4,settlement<->bank_transaction (exact match),7258734,7258734,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0015,settlement_bank_match,,,,setl_I2ozi1Own8zA4A,bnktxn_3UQYNx5DJ3WYAx,settlement<->bank_transaction (exact match),2377280,2377280,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0016,settlement_bank_match,,,,setl_PtnzjEgIPCt519,bnktxn_lrVRKXjPzKYZmj,settlement<->bank_transaction (exact match),1514979,1514979,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0017,settlement_bank_match,,,,setl_AuDp3ViW7FuN7W,bnktxn_exN6uL51CEvTls,settlement<->bank_transaction (exact match),2438285,2438285,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0018,settlement_bank_match,,,,setl_tgZJk54jkAhI6N,bnktxn_XbLS0x7CLKlC5b,settlement<->bank_transaction (exact match),1418173,1418173,0,Settlement amount matches bank credit exactly on the same value date.,True,False
CASE_0019,settlement_bank_match,,,,setl_F8QKw4vf4xeliN,bnktxn_qmGrH56bFu5kdP,settlement<->bank_transaction (exact match),1784734,1784734,0,Settlement amount matches bank credit exactly on the same value date.,True,False
